FLH_pv,FLH_el
1863.076923076923,6118.976035360625
1866.2424242424242,6036.888247980765
1865.3648648648648,5951.300657965097
1870.485294117647,5974.25796073876
1875.05,6005.097893068654
1875.4615384615386,6197.471246638423
1876.46,6339.653534709767
1879.945945945946,6098.5119484956085
1885.1568627450981,5916.225582698331
1889.8695652173913,6083.181943130883
1888.6785714285713,6342.345248721016
1888.125,6459.657124103804
1894.5555555555557,6187.4931260414305
1901.2758620689656,5627.4453513286135
1907.9666666666667,5466.046857796464
1909.075,5485.615406709956
1909.095238095238,5325.202412018087
1908.6666666666667,5307.054802581493
1910.611111111111,5229.453951090603
1915.16,5150.765728633531
1916.5882352941176,5060.457027342694
1918.075,4975.119268175855
1917.9791666666667,4954.879966187029
1918.5454545454545,5028.3560309725
1923.840579710145,5343.815817786468
1932.1971830985915,5548.267991035158
1915.4270833333333,5872.946036417707
1883.095238095238,5939.682558594766
1847.0,6300.301671809866
1827.5,6462.446103693161
1829.4130434782608,6445.726151985029
1831.9811320754718,6406.185531008552
1836.1458333333333,6391.4611788220645
1838.0416666666667,6368.04109809667
1841.0487804878048,6297.123881803855
1847.4931506849316,6270.33908946719
1851.9,6274.412900832045
1857.859375,6174.652197462827
1860.0,6175.29032233535
1865.0555555555557,6156.887273166736
1869.2105263157894,6124.209827207291
1874.2307692307693,6077.493382015178
1876.764705882353,6128.46717600993
1878.125,6287.016464590415
1880.157894736842,6279.158088491182
1885.1162790697674,5983.499920170376
1889.1935483870968,5915.547668688727
1890.2619047619048,6134.780593792209
1889.6097560975609,6376.37247747535
1886.5238095238096,6407.160894841334
1891.1875,6152.73902976574
1898.1818181818182,5879.678389025823
1907.8536585365853,5714.172311656264
1914.290909090909,5468.610949940252
1913.9512195121952,5481.279831673048
1912.9473684210527,5472.452245479595
1910.6363636363637,5387.58224870768
1914.235294117647,5335.622419825551
1916.6666666666667,5286.97645167794
1915.7777777777778,5449.313358122075
1914.4035087719299,5502.594464433874
1913.482142857143,5390.78511257362
1916.7761194029852,5095.055075548124
1922.075,5009.476537031442
1927.2068965517242,5270.707864640892
1917.142857142857,5633.572129777604
1891.4074074074074,5947.204257127101
1866.8333333333333,5847.425363262912
1828.2941176470588,6464.387206093728
1832.3076923076924,6457.217631307285
1834.3846153846155,6421.550033820939
1837.9423076923076,6395.033646434167
1840.3461538461538,6389.523188369436
1841.3902439024391,6329.136454009858
1846.3382352941176,6284.285670758283
1853.0740740740741,6263.004478266987
1853.4074074074074,6303.166871839552
1855.0144927536232,6322.379718256969
1862.4545454545455,6209.972725361906
1865.3809523809523,6188.269969814428
1870.8809523809523,6134.985837126296
1876.8947368421052,6097.390782893024
1878.5277777777778,6108.941946709907
1878.148148148148,6111.112238238071
1882.590909090909,5924.121075531264
1889.7555555555555,5837.579556054028
1892.7619047619048,6013.140059544385
1891.219512195122,6291.289694462641
1889.4516129032259,6365.157106709608
1892.9473684210527,6162.425124796107
1896.8333333333333,5946.560846723587
1898.7411764705882,5819.825102223229
1907.2735849056603,5450.289252987364
1917.9772727272727,5522.004344349552
1914.5333333333333,5584.36131480211
1912.8823529411766,5586.795273298456
1912.7272727272727,5665.862128738721
1913.1176470588234,5618.127398772311
1911.2916666666667,5729.367746381409
1911.4038461538462,5774.622796606243
1911.658536585366,5753.3272693840845
1911.5,5840.661177200178
1912.8936170212767,5901.041041799559
1917.5857142857142,5868.034634631564
1928.3372093023256,5464.806488951173
1929.2929292929293,5216.703894642851
1923.8157894736842,5361.744126052799
1921.7857142857142,5603.721488674753
1915.7413793103449,5647.862878404354
1922.1136363636363,5550.569073959516
1937.132075471698,4974.5145648335165
1932.0425531914893,4832.075639764953
1892.0,4893.007436776272
1826.3809523809523,6482.283277442097
1829.7333333333333,6471.522005739593
1834.1666666666667,6448.846505376889
1837.7272727272727,6420.380798997852
1841.8181818181818,6380.909774881176
1845.3589743589744,6338.845476904593
1848.6666666666667,6300.183435628336
1853.421052631579,6281.827199231833
1856.7777777777778,6332.506576950633
