,water_availability_sw[MCM]
989,0.11018165623298674
990,0.13003650768903477
991,0.15669123947134034
992,0.15429475949451849
993,0.1332922865017498
994,0.13259847625724916
995,0.1050917346960938
996,0.12951466519774305
997,0.12495333527903382
998,0.15172226228835253
999,0.17441903609609632
1000,0.11895390140217099
1001,0.171691039006338
1002,0.14927070943609175
1003,0.1309371111815072
1004,0.025766276718238793
1005,0.07795484528862165
1006,0.09483252189005761
1007,0.09902993888674859
1008,0.1337296299243533
1009,0.13501142410368752
1010,0.11914071723454238
1011,0.14275888184558602
1012,0.15829537195103788
1013,0.13371154226428267
1014,0.11096806449844603
1015,0.11512444680363346
1016,0.07472984249453428
1017,0.09733077870041125
1018,0.10017054133150159
1019,0.07357736158645133
1020,0.14918756019278195
1021,0.10494919313613414
1022,0.15836718266116906
1023,0.15468431909872643
1024,0.13448337241565514
1025,0.07106398673185955
1026,0.06148103644040472
1027,0.0937842475011876
1028,0.15319222212543657
1029,0.042236576020471865
1030,0.12124239534872035
1031,0.2082121844095636
1032,0.13072086915588654
1033,0.13025517940033654
1034,0.15228918894728302
1035,0.16816259546718498
1036,0.17154363807501607
1037,0.17076370897137313
1038,0.11350735600030319
1039,0.17447491886676234
1040,0.13182691607095234
1041,0.10479936251913108
1042,0.11293718976046455
1043,0.15365278254454864
1044,0.1306482485505283
1045,0.13233175076247614
1046,0.15695202573444833
1047,0.14396724552433499
1048,0.12673564470868098
1049,0.17366880315077832
1050,0.1353820861525978
1051,0.11809487253135349
1052,0.11749123062213036
1053,0.1077468412154182
1054,0.13527814959846055
1055,0.15151087963409418
1056,0.16752466799335036
1057,0.15163506356890752
1058,0.1645234662470027
1059,0.15483927905216743
1060,0.13177400291611882
1061,0.09379045669792827
1062,0.0005024050058426747
1063,0.09759291478889767
1064,0.15113535821382165
1065,0.1308909471535657
1066,0.14528683481426458
1067,0.11008473877081722
1068,0.101778183357183
1069,0.1145040670597181
1070,0.11841586100633841
1071,0.12807710116974078
1072,0.11647400221696368
1073,0.11924006438239304
1074,0.09216526694232757
1075,0.10108923248404464
1076,0.06853252421719713
1077,0.09785019150602185
1078,0.16003853644471128
1079,0.08337628393845109
1080,0.12265188300885178
1081,0.16994004552546987
1082,0.0909512339969893
1083,0.06430784074786236
1084,0.06726152864089013
1085,0.13208662247375763
1086,0.1058057923212705
1087,0.05041300826762774
1088,0.08285120186625121
1089,0.19273913609689683
1090,0.15028658801588002
1091,0.1188434856862174
1092,0.1778246455258144
1093,0.2070694222442052
1094,0.16648584238212918
1095,0.10483013853775874
1096,0.09861662235588071
1097,0.15616750722451883
1098,0.13081913644343449
1099,0.11140513795597386
1100,0.15288851141529522
1101,0.13763143516317336
1102,0.11226551665216977
1103,0.15797087393006912
1104,0.14375127346379002
1105,0.12239838580278717
1106,0.14137369104226588
1107,0.13645465739827914
1108,0.13664309302110458
1109,0.08857824098175174
1110,0.101734988945074
1111,0.14741982887722158
1112,0.1537167642674851
1113,0.15262745518711152
1114,0.16625745192810293
1115,0.21817254587682072
1116,0.16336612596755748
1117,0.10881725274049407
1118,0.12981324657144644
1119,0.13081562689745063
1120,0.00020517345751769626
1121,0.004878538882634591
1122,0.10297844808366152
1123,0.11671886054060651
1124,0.0853742954635675
1125,0.0914833351611569
1126,0.12597893260154663
1127,0.08968158824606072
1128,0.0745476160684495
1129,0.10481016112215832
1130,0.10180167031876726
1131,0.13705532969166973
1132,0.1577157569335504
1133,0.09045314843235752
1134,0.097474940050825
1135,0.08308445169163974
1136,0.09712749499842332
1137,0.1888033152585409
1138,0.0847674139734362
1139,0.1636109842912003
1140,0.19708962329149904
1141,0.0665750074534329
1142,0.08518693970104477
1143,0.06710440896684369
1144,0.07083829592859009
1145,0.10888771362524685
1146,0.05722206740645845
1147,0.12475059150719728
1148,0.20021932841387094
1149,0.17021594983281604
1150,0.18548355472288944
1151,0.1981300686931743
1152,0.16411149954151322
1153,0.11370982980706408
1154,0.10624448556925244
1155,0.11561551327629752
1156,0.09284530896796846
1157,0.14558028685153002
1158,0.13119789744461519
1159,0.17312131397729688
1160,0.141208472415949
1161,0.12350119313694477
1162,0.12871394878327266
1163,0.136340462171266
1164,0.10757946286849586
1165,0.12171564412638945
1166,0.17478456880856863
1167,0.11617272119250349
1168,0.12342803260143517
1169,0.1664064726498789
1170,0.16116915018166403
1171,0.19336248545664467
1172,0.19780692049758392
1173,0.1980884940715194
1174,0.14011862340542408
1175,0.13198619546560425
1176,0.11443144645435986
1177,0.11326087788620627
1178,0.15045396636280237
1179,0.06478594889689372
1180,0.006092841793048536
1181,0.10036005681462976
1182,0.12114601781670216
1183,0.11022404074986869
1184,0.07876069103952997
1185,0.1298024479684192
1186,0.10736322084287525
1187,0.09366276321713107
1188,0.09709752887502271
1189,0.09981796694266194
1190,0.19707774482816906
1191,0.11542194831703412
1192,0.10091240535947345
1193,0.11582257648934498
1194,0.1066912777695048
1195,0.097077821424498
1196,0.13531945425503975
1197,0.07166951839661244
1198,0.18350147113723825
1199,0.1593668633364165
1200,0.08575791583611046
1201,0.07910219686026666
1202,0.07509888475299045
1203,0.08931794528911817
1204,0.055750757743996016
1205,0.0750767476167846
1206,0.15632057742243005
1207,0.1861887035005687
1208,0.18205148871575463
1209,0.1850570099033132
1210,0.18593817591033657
1211,0.1145243144403942
1212,0.1490220716013894
1213,0.10465439127349029
1214,0.10244364726873711
1215,0.07780609453192132
